run,rank_by_delta,pair,window_index,start_time,end_time,previous_corr,current_corr,delta,current_severity,reversal,current_reason,candidate_plain_message
complex_20_10,3,s2 <-> s3,78,780,799,-0.9163277880455234,0.8470017226319946,1.763329510677518,HIGH,True,"Correlation changed by 1.76, classified as HIGH severity",The relationship between s2 and s3 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
complex_20_10,4,s1 <-> s2,78,780,799,-0.9163277906912126,0.8470016878174823,1.763329478508695,HIGH,True,"Correlation changed by 1.76, classified as HIGH severity",The relationship between s1 and s2 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
complex_20_10,5,s1 <-> s2,94,940,959,0.7566631644151007,-0.9386536806836342,1.695316845098735,HIGH,True,"Correlation changed by 1.70, classified as HIGH severity",The relationship between s1 and s2 reversed during this period: it changed from tending to move together to tending to move in opposite directions.
traffic_20_10,1,occupancy_6005 <-> speed_6005,149,2015-09-16T05:14:00Z,2015-09-16T06:54:00Z,0.27781517110585224,-0.7627268210745326,1.040541992180385,HIGH,True,Weak-to-strong change: correlation went from 0.28 to -0.76,The relationship between occupancy_6005 and speed_6005 reversed during this period: it changed from tending to move together to tending to move in opposite directions.
traffic_20_10,2,occupancy_t4013 <-> speed_6005,15,2015-09-02T19:05:00Z,2015-09-03T05:11:00Z,-0.2571373595879598,0.6531728020948967,0.9103101616828565,HIGH,True,"Correlation changed by 0.91, classified as HIGH severity",The relationship between occupancy_t4013 and speed_6005 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
traffic_20_10,3,occupancy_6005 <-> speed_6005,173,2015-09-17T06:20:00Z,2015-09-17T07:55:00Z,-0.4325764996547215,0.4681912796821212,0.9007677793368427,HIGH,True,"Correlation changed by 0.90, classified as HIGH severity",The relationship between occupancy_6005 and speed_6005 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
traffic_20_10,4,occupancy_6005 <-> speed_t4013,5,2015-09-02T06:40:00Z,2015-09-02T08:15:00Z,-0.443088736179495,0.4468657881065153,0.8899545242860103,HIGH,True,"Correlation changed by 0.89, classified as HIGH severity",The relationship between speed_t4013 and occupancy_6005 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
traffic_20_10,5,occupancy_t4013 <-> speed_t4013,151,2015-09-16T06:59:00Z,2015-09-16T08:34:00Z,-0.5417832629001498,0.33802045163398303,0.8798037145341329,HIGH,True,"Correlation changed by 0.88, classified as HIGH severity",The relationship between occupancy_t4013 and speed_t4013 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
traffic_60_30,1,occupancy_t4013 <-> speed_t4013,17,2015-09-09T15:13:00Z,2015-09-10T08:53:00Z,-0.44460720116917113,0.25924288271113005,0.7038500838803012,HIGH,True,"Correlation changed by 0.70, classified as HIGH severity",The relationship between occupancy_t4013 and speed_t4013 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
traffic_60_30,2,occupancy_6005 <-> occupancy_t4013,57,2015-09-17T04:35:00Z,2015-09-17T09:40:00Z,0.7171501803313775,0.11529668773511165,0.6018534925962657,MEDIUM,False,Strong-to-weak change: correlation went from 0.72 to 0.12,The relationship between occupancy_t4013 and occupancy_6005 became weaker during this period.
traffic_60_30,3,occupancy_6005 <-> speed_t4013,4,2015-09-02T14:50:00Z,2015-09-03T06:21:00Z,-0.44454507715761393,0.14247414589831936,0.5870192230559332,MEDIUM,True,"Correlation changed by 0.59, classified as MEDIUM severity",The relationship between speed_t4013 and occupancy_6005 reversed during this period: it changed from tending to move in opposite directions to tending to move together.
traffic_60_30,4,occupancy_6005 <-> occupancy_t4013,43,2015-09-15T06:00:00Z,2015-09-15T11:36:00Z,0.8226499613192583,0.2646805792919541,0.5579693820273042,MEDIUM,False,Strong-to-weak change: correlation went from 0.82 to 0.26,The relationship between occupancy_t4013 and occupancy_6005 became weaker during this period.
traffic_60_30,5,occupancy_t4013 <-> speed_t4013,19,2015-09-10T08:58:00Z,2015-09-10T16:37:00Z,0.41905783332562024,-0.08063045525999861,0.49968828858561887,LOW,True,"Correlation changed by 0.50, classified as LOW severity",The relationship between occupancy_t4013 and speed_t4013 reversed during this period: it changed from tending to move together to tending to move in opposite directions.
